image,xmin,ymin,xmax,ymax,label
BloodImage_00006.jpeg.png,503,160,619,246,rbc
BloodImage_00006.jpeg.png,373,142,489,235,rbc
BloodImage_00006.jpeg.png,108,121,235,216,rbc
BloodImage_00006.jpeg.png,16,59,143,154,rbc
BloodImage_00008.jpeg.png,42,183,277,381,wbc
BloodImage_00008.jpeg.png,398,222,519,330,rbc
BloodImage_00008.jpeg.png,505,103,626,211,rbc
BloodImage_00008.jpeg.png,366,315,472,413,rbc
BloodImage_00008.jpeg.png,456,312,562,410,rbc
BloodImage_00008.jpeg.png,524,250,630,348,rbc
BloodImage_00008.jpeg.png,534,335,639,433,rbc
BloodImage_00008.jpeg.png,353,43,459,141,rbc
BloodImage_00008.jpeg.png,316,43,422,141,rbc
BloodImage_00008.jpeg.png,265,25,371,123,rbc
BloodImage_00008.jpeg.png,221,18,327,116,rbc
BloodImage_00008.jpeg.png,109,1,221,85,rbc
BloodImage_00008.jpeg.png,1,166,96,299,rbc
BloodImage_00008.jpeg.png,263,402,365,479,rbc
BloodImage_00008.jpeg.png,178,402,280,479,rbc
BloodImage_00008.jpeg.png,1,1,102,77,rbc
BloodImage_00008.jpeg.png,196,135,313,215,rbc
BloodImage_00008.jpeg.png,447,392,607,479,rbc
BloodImage_00008.jpeg.png,148,62,234,172,rbc
BloodImage_00008.jpeg.png,438,1,564,85,rbc
BloodImage_00009.jpeg.png,23,137,255,423,wbc
BloodImage_00009.jpeg.png,441,324,575,423,rbc
BloodImage_00009.jpeg.png,372,192,468,279,rbc
BloodImage_00009.jpeg.png,305,213,401,300,rbc
BloodImage_00009.jpeg.png,226,288,324,439,rbc
BloodImage_00009.jpeg.png,313,318,408,414,rbc
BloodImage_00009.jpeg.png,282,384,377,479,rbc
BloodImage_00009.jpeg.png,446,97,567,206,rbc
BloodImage_00009.jpeg.png,440,1,561,96,rbc
BloodImage_00009.jpeg.png,214,107,331,198,rbc
BloodImage_00009.jpeg.png,298,85,435,211,rbc
BloodImage_00009.jpeg.png,7,76,133,197,rbc
BloodImage_00009.jpeg.png,1,1,115,94,rbc
BloodImage_00009.jpeg.png,286,1,394,65,rbc
BloodImage_00009.jpeg.png,154,13,289,127,rbc
BloodImage_00009.jpeg.png,452,415,493,449,platelets
BloodImage_00009.jpeg.png,479,155,575,242,rbc
BloodImage_00009.jpeg.png,135,393,231,479,rbc
BloodImage_00010.jpeg.png,23,229,204,421,wbc
BloodImage_00010.jpeg.png,239,253,510,470,wbc
BloodImage_00010.jpeg.png,167,212,269,331,rbc
BloodImage_00010.jpeg.png,69,138,170,243,rbc
BloodImage_00010.jpeg.png,43,84,126,171,rbc
BloodImage_00010.jpeg.png,275,166,358,253,rbc
BloodImage_00010.jpeg.png,311,179,394,266,rbc
BloodImage_00010.jpeg.png,267,69,350,156,rbc
BloodImage_00010.jpeg.png,307,75,390,162,rbc
BloodImage_00010.jpeg.png,339,80,422,167,rbc
BloodImage_00010.jpeg.png,456,1,550,68,rbc
BloodImage_00010.jpeg.png,314,1,429,69,rbc
BloodImage_00010.jpeg.png,200,1,310,43,rbc
BloodImage_00010.jpeg.png,16,1,100,79,rbc
BloodImage_00010.jpeg.png,406,80,538,185,rbc
BloodImage_00010.jpeg.png,560,236,639,345,rbc
BloodImage_00010.jpeg.png,571,174,639,260,rbc
BloodImage_00010.jpeg.png,566,76,639,160,rbc
BloodImage_00012.jpeg.png,2,187,228,359,wbc
BloodImage_00012.jpeg.png,349,146,475,240,rbc
BloodImage_00012.jpeg.png,377,210,483,314,rbc
BloodImage_00012.jpeg.png,401,299,507,403,rbc
BloodImage_00012.jpeg.png,296,281,386,387,rbc
BloodImage_00012.jpeg.png,251,311,344,439,rbc
BloodImage_00012.jpeg.png,168,304,264,402,rbc
BloodImage_00012.jpeg.png,14,335,125,434,rbc
BloodImage_00012.jpeg.png,126,393,251,479,rbc
BloodImage_00012.jpeg.png,329,376,412,477,rbc
BloodImage_00012.jpeg.png,519,356,622,455,rbc
BloodImage_00012.jpeg.png,476,257,579,356,rbc
BloodImage_00012.jpeg.png,489,193,592,292,rbc
BloodImage_00012.jpeg.png,564,232,639,328,rbc
BloodImage_00012.jpeg.png,417,403,463,440,platelets
BloodImage_00012.jpeg.png,351,44,397,81,platelets
BloodImage_00012.jpeg.png,220,20,303,107,rbc
BloodImage_00012.jpeg.png,495,82,605,204,rbc
BloodImage_00012.jpeg.png,299,431,381,479,rbc
BloodImage_00013.jpeg.png,31,208,238,406,wbc
BloodImage_00013.jpeg.png,255,283,371,392,rbc
BloodImage_00013.jpeg.png,405,288,517,420,rbc
BloodImage_00013.jpeg.png,369,77,486,223,rbc
BloodImage_00013.jpeg.png,90,98,200,189,rbc
BloodImage_00013.jpeg.png,203,365,313,456,rbc
BloodImage_00013.jpeg.png,318,396,427,479,rbc
BloodImage_00013.jpeg.png,574,160,639,281,rbc
BloodImage_00013.jpeg.png,466,57,564,174,rbc
BloodImage_00013.jpeg.png,547,48,638,144,rbc
BloodImage_00013.jpeg.png,500,214,599,325,rbc
BloodImage_00013.jpeg.png,184,12,299,118,rbc
BloodImage_00013.jpeg.png,105,34,220,140,rbc
BloodImage_00013.jpeg.png,455,404,555,479,rbc
BloodImage_00013.jpeg.png,324,402,424,478,rbc
BloodImage_00020.jpeg.png,419,189,478,236,platelets
BloodImage_00020.jpeg.png,352,364,475,447,wbc
BloodImage_00020.jpeg.png,226,99,333,206,rbc
BloodImage_00020.jpeg.png,404,25,511,132,rbc
BloodImage_00020.jpeg.png,511,38,618,145,rbc
BloodImage_00020.jpeg.png,457,206,564,313,rbc
BloodImage_00020.jpeg.png,478,370,585,477,rbc
BloodImage_00020.jpeg.png,287,238,394,345,rbc
BloodImage_00020.jpeg.png,372,343,406,374,platelets
BloodImage_00020.jpeg.png,40,277,147,384,rbc
BloodImage_00020.jpeg.png,1,277,79,379,rbc
BloodImage_00020.jpeg.png,80,166,187,273,rbc
BloodImage_00020.jpeg.png,143,245,250,352,rbc
BloodImage_00020.jpeg.png,144,366,251,473,rbc
BloodImage_00020.jpeg.png,142,364,249,471,rbc
BloodImage_00020.jpeg.png,109,41,216,148,rbc
BloodImage_00020.jpeg.png,460,59,567,166,rbc
BloodImage_00020.jpeg.png,570,256,639,357,rbc
BloodImage_00020.jpeg.png,61,383,169,479,rbc
BloodImage_00020.jpeg.png,1,128,106,235,rbc
BloodImage_00020.jpeg.png,40,1,149,95,rbc
BloodImage_00020.jpeg.png,165,1,274,95,rbc
BloodImage_00020.jpeg.png,80,128,115,161,platelets
BloodImage_00022.jpeg.png,108,194,281,372,wbc
BloodImage_00022.jpeg.png,99,329,138,360,platelets
BloodImage_00022.jpeg.png,149,1,188,30,platelets
BloodImage_00022.jpeg.png,394,199,433,230,platelets
BloodImage_00022.jpeg.png,17,163,130,255,rbc
BloodImage_00022.jpeg.png,1,197,113,289,rbc
BloodImage_00022.jpeg.png,289,142,392,234,rbc
BloodImage_00022.jpeg.png,340,81,443,173,rbc
BloodImage_00022.jpeg.png,275,22,392,126,rbc
BloodImage_00022.jpeg.png,441,59,579,163,rbc
BloodImage_00022.jpeg.png,471,143,579,263,rbc
BloodImage_00022.jpeg.png,557,359,639,479,rbc
BloodImage_00022.jpeg.png,406,374,538,479,rbc
BloodImage_00022.jpeg.png,272,389,389,479,rbc
BloodImage_00022.jpeg.png,378,249,482,349,rbc
BloodImage_00022.jpeg.png,15,12,100,147,rbc
BloodImage_00023.jpeg.png,98,34,281,206,wbc
BloodImage_00023.jpeg.png,277,113,387,233,rbc
BloodImage_00023.jpeg.png,388,82,498,202,rbc
BloodImage_00023.jpeg.png,306,243,416,363,rbc
BloodImage_00023.jpeg.png,186,268,291,381,rbc
BloodImage_00023.jpeg.png,296,364,423,479,rbc
BloodImage_00023.jpeg.png,511,147,638,263,rbc
BloodImage_00023.jpeg.png,62,414,174,479,rbc
BloodImage_00023.jpeg.png,37,1,141,76,rbc
BloodImage_00023.jpeg.png,29,152,117,247,rbc
BloodImage_00023.jpeg.png,494,1,594,74,rbc
BloodImage_00023.jpeg.png,572,264,639,345,rbc
BloodImage_00023.jpeg.png,524,354,639,453,rbc
BloodImage_00023.jpeg.png,15,220,109,334,rbc
BloodImage_00023.jpeg.png,132,292,171,340,platelets
BloodImage_00023.jpeg.png,343,1,468,110,rbc
BloodImage_00023.jpeg.png,209,245,305,327,rbc
BloodImage_00023.jpeg.png,177,219,273,301,rbc
BloodImage_00024.jpeg.png,310,1,471,128,wbc
BloodImage_00024.jpeg.png,89,89,192,206,rbc
BloodImage_00024.jpeg.png,265,114,368,231,rbc
BloodImage_00024.jpeg.png,203,176,295,318,rbc
BloodImage_00024.jpeg.png,109,195,204,306,rbc
BloodImage_00024.jpeg.png,391,117,486,228,rbc
BloodImage_00024.jpeg.png,376,250,471,361,rbc
BloodImage_00024.jpeg.png,314,357,419,477,rbc
BloodImage_00024.jpeg.png,25,309,142,428,rbc
BloodImage_00024.jpeg.png,497,1,604,97,rbc
BloodImage_00024.jpeg.png,578,144,639,248,rbc
BloodImage_00024.jpeg.png,570,252,639,390,rbc
BloodImage_00024.jpeg.png,494,325,588,427,rbc
BloodImage_00024.jpeg.png,399,334,517,457,rbc
BloodImage_00024.jpeg.png,19,234,103,344,rbc
BloodImage_00024.jpeg.png,484,196,587,313,rbc
BloodImage_00026.jpeg.png,387,1,564,102,wbc
BloodImage_00026.jpeg.png,178,2,287,113,rbc
BloodImage_00026.jpeg.png,114,154,223,265,rbc
BloodImage_00026.jpeg.png,102,60,211,171,rbc
BloodImage_00026.jpeg.png,42,70,151,181,rbc
BloodImage_00026.jpeg.png,1,112,94,227,rbc
BloodImage_00026.jpeg.png,2,171,113,287,rbc
BloodImage_00026.jpeg.png,424,270,535,386,rbc
BloodImage_00026.jpeg.png,173,362,282,460,rbc
BloodImage_00026.jpeg.png,86,358,195,456,rbc
BloodImage_00026.jpeg.png,253,151,350,245,rbc
BloodImage_00026.jpeg.png,497,196,608,294,rbc
BloodImage_00026.jpeg.png,317,351,426,471,rbc
BloodImage_00026.jpeg.png,202,280,329,394,rbc
BloodImage_00026.jpeg.png,295,202,422,316,rbc
BloodImage_00026.jpeg.png,436,94,574,210,rbc
BloodImage_00026.jpeg.png,294,78,407,194,rbc
BloodImage_00026.jpeg.png,146,269,186,304,platelets
BloodImage_00026.jpeg.png,282,425,322,460,platelets
BloodImage_00032.jpeg.png,158,77,285,198,wbc
BloodImage_00032.jpeg.png,233,274,343,379,rbc
BloodImage_00032.jpeg.png,288,66,398,171,rbc
BloodImage_00032.jpeg.png,356,251,446,345,rbc
BloodImage_00032.jpeg.png,455,295,545,389,rbc
BloodImage_00032.jpeg.png,419,312,509,406,rbc
BloodImage_00032.jpeg.png,332,365,457,474,rbc
BloodImage_00032.jpeg.png,199,221,297,309,rbc
BloodImage_00032.jpeg.png,86,323,215,437,rbc
BloodImage_00032.jpeg.png,50,1,160,92,rbc
BloodImage_00032.jpeg.png,174,16,273,96,rbc
BloodImage_00032.jpeg.png,406,1,517,89,rbc
BloodImage_00032.jpeg.png,517,136,628,225,rbc
BloodImage_00032.jpeg.png,521,197,632,286,rbc
BloodImage_00032.jpeg.png,546,248,639,345,rbc
BloodImage_00032.jpeg.png,464,101,558,198,rbc
BloodImage_00032.jpeg.png,411,65,505,162,rbc
BloodImage_00032.jpeg.png,421,134,515,231,rbc
BloodImage_00032.jpeg.png,416,158,520,258,rbc
BloodImage_00032.jpeg.png,391,160,495,260,rbc
BloodImage_00032.jpeg.png,350,182,454,282,rbc
BloodImage_00032.jpeg.png,50,238,172,342,rbc
BloodImage_00032.jpeg.png,454,408,580,479,rbc
BloodImage_00032.jpeg.png,1,366,89,479,rbc
BloodImage_00032.jpeg.png,102,105,140,151,platelets
BloodImage_00034.jpeg.png,350,181,543,359,wbc
BloodImage_00034.jpeg.png,310,351,458,479,wbc
BloodImage_00034.jpeg.png,524,334,562,377,platelets
BloodImage_00034.jpeg.png,52,85,90,128,platelets
BloodImage_00034.jpeg.png,127,130,259,270,rbc
BloodImage_00034.jpeg.png,97,298,205,415,rbc
BloodImage_00034.jpeg.png,1,336,107,453,rbc
BloodImage_00034.jpeg.png,62,407,174,479,rbc
BloodImage_00034.jpeg.png,518,1,602,98,rbc
BloodImage_00034.jpeg.png,484,17,568,128,rbc
BloodImage_00034.jpeg.png,452,34,537,145,rbc
BloodImage_00034.jpeg.png,409,54,494,165,rbc
BloodImage_00034.jpeg.png,358,84,443,195,rbc
BloodImage_00034.jpeg.png,555,282,639,393,rbc
BloodImage_00034.jpeg.png,571,352,639,464,rbc
BloodImage_00034.jpeg.png,102,23,175,128,rbc
BloodImage_00034.jpeg.png,143,22,226,126,rbc
BloodImage_00034.jpeg.png,278,16,372,121,rbc
BloodImage_00034.jpeg.png,207,283,320,401,rbc
BloodImage_00036.jpeg.png,107,242,287,423,wbc
BloodImage_00036.jpeg.png,207,106,319,209,rbc
BloodImage_00036.jpeg.png,166,130,278,233,rbc
BloodImage_00036.jpeg.png,405,171,499,274,rbc
BloodImage_00036.jpeg.png,487,106,599,209,rbc
BloodImage_00036.jpeg.png,545,315,639,428,rbc
BloodImage_00036.jpeg.png,260,370,355,479,rbc
BloodImage_00036.jpeg.png,1,266,88,360,rbc
BloodImage_00036.jpeg.png,1,138,99,242,rbc
BloodImage_00036.jpeg.png,60,87,160,191,rbc
BloodImage_00036.jpeg.png,301,21,429,135,rbc
BloodImage_00036.jpeg.png,397,60,494,168,rbc
BloodImage_00036.jpeg.png,543,242,639,350,rbc
BloodImage_00036.jpeg.png,391,168,453,270,rbc
BloodImage_00036.jpeg.png,421,1,518,80,rbc
BloodImage_00036.jpeg.png,480,1,577,80,rbc
BloodImage_00036.jpeg.png,162,91,198,126,platelets
BloodImage_00036.jpeg.png,468,264,562,367,rbc
BloodImage_00036.jpeg.png,107,1,210,86,rbc
BloodImage_00036.jpeg.png,70,389,205,477,rbc
BloodImage_00038.jpeg.png,415,304,533,427,wbc
BloodImage_00038.jpeg.png,155,389,255,455,rbc
BloodImage_00038.jpeg.png,96,399,194,476,rbc
BloodImage_00038.jpeg.png,11,261,91,360,rbc
BloodImage_00038.jpeg.png,19,312,99,411,rbc
BloodImage_00038.jpeg.png,14,77,94,176,rbc
BloodImage_00038.jpeg.png,22,142,122,243,rbc
BloodImage_00038.jpeg.png,61,194,140,295,rbc
BloodImage_00038.jpeg.png,93,224,172,325,rbc
BloodImage_00038.jpeg.png,117,233,196,334,rbc
BloodImage_00038.jpeg.png,171,236,265,340,rbc
BloodImage_00038.jpeg.png,265,186,359,290,rbc
BloodImage_00038.jpeg.png,186,112,294,236,rbc
BloodImage_00038.jpeg.png,140,117,174,156,platelets
BloodImage_00038.jpeg.png,373,62,407,101,platelets
BloodImage_00038.jpeg.png,281,94,373,176,rbc
BloodImage_00038.jpeg.png,515,41,607,123,rbc
BloodImage_00038.jpeg.png,472,15,565,138,rbc
BloodImage_00038.jpeg.png,544,128,638,251,rbc
BloodImage_00038.jpeg.png,562,206,639,299,rbc
BloodImage_00038.jpeg.png,475,229,568,323,rbc
BloodImage_00038.jpeg.png,439,191,532,285,rbc
BloodImage_00038.jpeg.png,392,178,485,272,rbc
BloodImage_00038.jpeg.png,547,332,639,426,rbc
BloodImage_00038.jpeg.png,547,386,639,479,rbc
BloodImage_00038.jpeg.png,488,386,581,479,rbc
BloodImage_00038.jpeg.png,137,15,230,109,rbc
BloodImage_00038.jpeg.png,385,30,478,124,rbc
BloodImage_00039.jpeg.png,107,212,270,347,wbc
BloodImage_00039.jpeg.png,245,86,370,198,rbc
BloodImage_00039.jpeg.png,47,165,140,259,rbc
BloodImage_00039.jpeg.png,12,76,145,179,rbc
BloodImage_00039.jpeg.png,195,346,296,447,rbc
BloodImage_00039.jpeg.png,120,358,221,459,rbc
BloodImage_00039.jpeg.png,83,356,184,457,rbc
BloodImage_00039.jpeg.png,15,356,116,457,rbc
BloodImage_00039.jpeg.png,310,309,411,410,rbc
BloodImage_00039.jpeg.png,417,304,518,405,rbc
BloodImage_00039.jpeg.png,485,197,586,298,rbc
BloodImage_00039.jpeg.png,474,2,589,111,rbc
BloodImage_00039.jpeg.png,358,1,474,95,rbc
BloodImage_00039.jpeg.png,111,1,227,95,rbc
BloodImage_00039.jpeg.png,131,77,247,172,rbc
BloodImage_00039.jpeg.png,1,19,45,61,platelets
BloodImage_00039.jpeg.png,548,293,583,324,platelets
BloodImage_00039.jpeg.png,377,171,502,283,rbc
BloodImage_00039.jpeg.png,487,391,574,479,rbc
BloodImage_00040.jpeg.png,242,117,457,332,wbc
BloodImage_00040.jpeg.png,140,308,249,415,rbc
BloodImage_00040.jpeg.png,96,362,205,469,rbc
BloodImage_00040.jpeg.png,1,323,89,430,rbc
BloodImage_00040.jpeg.png,79,212,212,317,rbc
BloodImage_00040.jpeg.png,105,108,238,213,rbc
BloodImage_00040.jpeg.png,463,104,596,209,rbc
BloodImage_00040.jpeg.png,526,95,639,189,rbc
BloodImage_00040.jpeg.png,529,204,639,318,rbc
BloodImage_00040.jpeg.png,464,312,575,426,rbc
BloodImage_00040.jpeg.png,332,314,457,428,rbc
BloodImage_00040.jpeg.png,255,322,380,436,rbc
BloodImage_00040.jpeg.png,264,392,387,479,rbc
BloodImage_00040.jpeg.png,12,106,123,207,rbc
BloodImage_00040.jpeg.png,538,1,639,85,rbc
BloodImage_00040.jpeg.png,428,11,473,50,platelets
BloodImage_00040.jpeg.png,489,46,534,85,platelets
BloodImage_00040.jpeg.png,48,206,93,245,platelets
BloodImage_00042.jpeg.png,116,192,278,319,wbc
BloodImage_00042.jpeg.png,65,42,151,172,rbc
BloodImage_00042.jpeg.png,236,281,330,377,rbc
BloodImage_00042.jpeg.png,355,316,449,412,rbc
BloodImage_00042.jpeg.png,545,187,639,313,rbc
BloodImage_00042.jpeg.png,545,81,639,207,rbc
BloodImage_00042.jpeg.png,562,1,639,101,rbc
BloodImage_00042.jpeg.png,151,1,260,84,rbc
BloodImage_00042.jpeg.png,248,1,396,77,rbc
BloodImage_00042.jpeg.png,303,149,412,233,rbc
BloodImage_00042.jpeg.png,95,377,260,476,rbc
BloodImage_00042.jpeg.png,401,179,451,215,platelets
BloodImage_00042.jpeg.png,1,282,30,321,platelets
BloodImage_00042.jpeg.png,442,222,553,350,rbc
BloodImage_00042.jpeg.png,411,346,505,442,rbc
BloodImage_00042.jpeg.png,463,384,563,479,rbc
BloodImage_00043.jpeg.png,76,106,217,228,wbc
BloodImage_00043.jpeg.png,498,304,639,479,wbc
BloodImage_00043.jpeg.png,177,76,211,115,platelets
BloodImage_00043.jpeg.png,61,441,95,479,platelets
BloodImage_00043.jpeg.png,17,330,144,428,rbc
BloodImage_00043.jpeg.png,107,345,234,443,rbc
BloodImage_00043.jpeg.png,86,223,213,321,rbc
BloodImage_00043.jpeg.png,31,208,158,306,rbc
BloodImage_00043.jpeg.png,367,286,494,384,rbc
BloodImage_00043.jpeg.png,346,175,473,273,rbc
BloodImage_00043.jpeg.png,296,46,423,144,rbc
BloodImage_00043.jpeg.png,417,84,511,188,rbc
BloodImage_00043.jpeg.png,4,1,98,104,rbc
BloodImage_00043.jpeg.png,1,97,77,200,rbc
BloodImage_00043.jpeg.png,564,49,639,167,rbc
BloodImage_00043.jpeg.png,507,126,623,245,rbc
BloodImage_00044.jpeg.png,196,257,345,411,wbc
BloodImage_00044.jpeg.png,1,40,121,154,wbc
BloodImage_00044.jpeg.png,68,371,209,473,rbc
BloodImage_00044.jpeg.png,69,288,154,383,rbc
BloodImage_00044.jpeg.png,409,54,517,161,rbc
BloodImage_00044.jpeg.png,49,142,157,249,rbc
BloodImage_00044.jpeg.png,207,59,315,166,rbc
BloodImage_00044.jpeg.png,170,145,278,252,rbc
BloodImage_00044.jpeg.png,301,23,409,130,rbc
BloodImage_00044.jpeg.png,503,168,611,275,rbc
BloodImage_00044.jpeg.png,520,94,628,201,rbc
BloodImage_00044.jpeg.png,505,30,613,137,rbc
BloodImage_00044.jpeg.png,516,415,622,479,rbc
BloodImage_00044.jpeg.png,1,323,79,435,rbc
BloodImage_00044.jpeg.png,520,377,555,413,platelets
BloodImage_00044.jpeg.png,561,366,596,402,platelets
BloodImage_00044.jpeg.png,353,434,388,470,platelets
BloodImage_00044.jpeg.png,114,126,150,157,platelets
BloodImage_00044.jpeg.png,387,319,482,412,rbc
BloodImage_00044.jpeg.png,502,310,537,346,platelets
BloodImage_00045.jpeg.png,326,235,422,338,rbc
BloodImage_00045.jpeg.png,173,272,269,375,rbc
BloodImage_00045.jpeg.png,223,273,319,376,rbc
BloodImage_00045.jpeg.png,240,361,344,460,rbc
BloodImage_00045.jpeg.png,81,336,185,435,rbc
BloodImage_00045.jpeg.png,1,344,103,443,rbc
BloodImage_00045.jpeg.png,349,398,445,479,rbc
BloodImage_00045.jpeg.png,386,386,482,468,rbc
BloodImage_00045.jpeg.png,410,360,506,442,rbc
BloodImage_00045.jpeg.png,451,339,547,421,rbc
BloodImage_00045.jpeg.png,475,319,571,401,rbc
BloodImage_00045.jpeg.png,495,304,591,386,rbc
BloodImage_00045.jpeg.png,437,201,533,283,rbc
BloodImage_00045.jpeg.png,470,209,566,291,rbc
BloodImage_00045.jpeg.png,506,222,602,304,rbc
BloodImage_00045.jpeg.png,390,90,489,194,rbc
BloodImage_00045.jpeg.png,1,109,99,213,rbc
BloodImage_00045.jpeg.png,80,69,180,173,rbc
BloodImage_00045.jpeg.png,184,103,269,184,rbc
BloodImage_00045.jpeg.png,343,13,428,94,rbc
BloodImage_00045.jpeg.png,555,139,639,220,rbc
BloodImage_00045.jpeg.png,491,21,633,144,wbc
BloodImage_00045.jpeg.png,230,183,326,286,rbc
BloodImage_00045.jpeg.png,162,41,258,144,rbc
BloodImage_00045.jpeg.png,173,13,204,41,platelets
BloodImage_00046.jpeg.png,312,1,453,92,wbc
BloodImage_00046.jpeg.png,47,237,99,281,platelets
BloodImage_00046.jpeg.png,340,143,473,259,rbc
BloodImage_00046.jpeg.png,245,129,358,233,rbc
BloodImage_00046.jpeg.png,241,29,354,133,rbc
BloodImage_00046.jpeg.png,138,294,251,398,rbc
BloodImage_00046.jpeg.png,61,313,174,417,rbc
BloodImage_00046.jpeg.png,157,391,262,479,rbc
BloodImage_00046.jpeg.png,218,417,315,479,rbc
BloodImage_00046.jpeg.png,1,417,109,479,rbc
BloodImage_00046.jpeg.png,521,90,609,181,rbc
BloodImage_00046.jpeg.png,479,109,567,200,rbc
BloodImage_00046.jpeg.png,463,172,551,263,rbc
BloodImage_00046.jpeg.png,499,189,587,280,rbc
BloodImage_00046.jpeg.png,519,209,607,300,rbc
BloodImage_00046.jpeg.png,532,239,639,337,rbc
BloodImage_00046.jpeg.png,485,398,623,479,rbc
BloodImage_00046.jpeg.png,106,22,213,120,rbc
BloodImage_00046.jpeg.png,1,83,85,189,rbc
BloodImage_00046.jpeg.png,7,1,112,91,rbc
BloodImage_00046.jpeg.png,214,284,328,383,rbc
